rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 1.93164e-05 | prob: 0.9 = recall: 0.129 - cost: 0.0045472 - time: 0.1
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.000526175 | prob: 0.9 = recall: 0.585 - cost: 0.285597 - time: 2.31
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.00103303 | prob: 0.9 = recall: 0.795 - cost: 0.370592 - time: 4.08
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.00153989 | prob: 0.9 = recall: 0.872 - cost: 0.449165 - time: 4.25
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.00204675 | prob: 0.9 = recall: 0.903 - cost: 0.511789 - time: 4.71
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.00255361 | prob: 0.9 = recall: 0.963 - cost: 0.64328 - time: 7.42
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.00306047 | prob: 0.9 = recall: 0.973 - cost: 0.645494 - time: 7.34
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.00356732 | prob: 0.9 = recall: 0.984 - cost: 0.750586 - time: 8.97
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.00407418 | prob: 0.9 = recall: 0.983 - cost: 0.765008 - time: 9.22
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.00458104 | prob: 0.9 = recall: 0.992 - cost: 0.790096 - time: 9.8
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.0050879 | prob: 0.9 = recall: 0.995 - cost: 0.848634 - time: 9.67
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 1.93164e-05 | prob: 0.9 = recall: 0.12 - cost: 0.0031264 - time: 0.1
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.000529422 | prob: 0.9 = recall: 0.6 - cost: 0.294486 - time: 2.45
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00103953 | prob: 0.9 = recall: 0.788 - cost: 0.371706 - time: 3.08
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00154963 | prob: 0.9 = recall: 0.86 - cost: 0.433187 - time: 3.71
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00205974 | prob: 0.9 = recall: 0.883 - cost: 0.46656 - time: 3.86
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00256984 | prob: 0.9 = recall: 0.934 - cost: 0.559293 - time: 5.71
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00307995 | prob: 0.9 = recall: 0.95 - cost: 0.616669 - time: 7
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00359005 | prob: 0.9 = recall: 0.976 - cost: 0.710992 - time: 8.65
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00410016 | prob: 0.9 = recall: 0.984 - cost: 0.762931 - time: 9.27
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00461026 | prob: 0.9 = recall: 0.986 - cost: 0.805155 - time: 8.6
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00512037 | prob: 0.9 = recall: 0.985 - cost: 0.791914 - time: 6.96
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 1.93164e-05 | prob: 0.9 = recall: 0.112 - cost: 0.0028672 - time: 0.09
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.00052291 | prob: 0.9 = recall: 0.559 - cost: 0.246067 - time: 1.8
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.0010265 | prob: 0.9 = recall: 0.728 - cost: 0.322493 - time: 2.57
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.0015301 | prob: 0.9 = recall: 0.842 - cost: 0.406432 - time: 3.72
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.00203369 | prob: 0.9 = recall: 0.884 - cost: 0.476371 - time: 3.15
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.00253728 | prob: 0.9 = recall: 0.922 - cost: 0.513229 - time: 3.39
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.00304088 | prob: 0.9 = recall: 0.932 - cost: 0.562806 - time: 4.48
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.00354447 | prob: 0.9 = recall: 0.956 - cost: 0.623904 - time: 5.5
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.00404806 | prob: 0.9 = recall: 0.969 - cost: 0.671674 - time: 6.11
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.00455166 | prob: 0.9 = recall: 0.971 - cost: 0.714749 - time: 6.79
rows: 3125 | top_k: 10 | checks: 3125 | K: 16 | W: 1.93164e-05 | prob: 0.9 = recall: 0.11 - cost: 0.0027008 - time: 0.1
rows: 3125 | top_k: 10 | checks: 3125 | K: 16 | W: 0.000574055 | prob: 0.9 = recall: 0.589 - cost: 0.254643 - time: 1.65
rows: 3125 | top_k: 10 | checks: 3125 | K: 16 | W: 0.00112879 | prob: 0.9 = recall: 0.741 - cost: 0.353696 - time: 2.45
rows: 3125 | top_k: 10 | checks: 3125 | K: 16 | W: 0.00168353 | prob: 0.9 = recall: 0.807 - cost: 0.384634 - time: 2.58
