rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 1.93164e-05 | prob: 0.9 = recall: 0.239 - cost: 0.0244512 - time: 0.07
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.000526175 | prob: 0.9 = recall: 0.824 - cost: 0.423485 - time: 1.06
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.00103303 | prob: 0.9 = recall: 0.9 - cost: 0.495184 - time: 1.3
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.00153989 | prob: 0.9 = recall: 0.939 - cost: 0.535936 - time: 1.41
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.00204675 | prob: 0.9 = recall: 0.952 - cost: 0.58264 - time: 1.56
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.00255361 | prob: 0.9 = recall: 0.977 - cost: 0.687222 - time: 1.9
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.00306047 | prob: 0.9 = recall: 0.99 - cost: 0.734957 - time: 2.05
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.00356732 | prob: 0.9 = recall: 0.994 - cost: 0.841075 - time: 2.35
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.00407418 | prob: 0.9 = recall: 0.992 - cost: 0.82879 - time: 2.32
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.00458104 | prob: 0.9 = recall: 0.995 - cost: 0.912525 - time: 2.51
rows: 3125 | top_k: 10 | checks: 3125 | K: 10 | W: 0.0050879 | prob: 0.9 = recall: 0.996 - cost: 0.898237 - time: 2.49
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 1.93164e-05 | prob: 0.9 = recall: 0.238 - cost: 0.0255328 - time: 0.07
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.000529422 | prob: 0.9 = recall: 0.765 - cost: 0.359389 - time: 0.91
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00103953 | prob: 0.9 = recall: 0.854 - cost: 0.462774 - time: 1.15
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00154963 | prob: 0.9 = recall: 0.924 - cost: 0.515914 - time: 1.35
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00205974 | prob: 0.9 = recall: 0.954 - cost: 0.543443 - time: 1.43
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00256984 | prob: 0.9 = recall: 0.961 - cost: 0.568045 - time: 1.52
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00307995 | prob: 0.9 = recall: 0.98 - cost: 0.638304 - time: 1.75
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00359005 | prob: 0.9 = recall: 0.977 - cost: 0.668534 - time: 1.86
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00410016 | prob: 0.9 = recall: 0.985 - cost: 0.72025 - time: 1.96
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00461026 | prob: 0.9 = recall: 0.992 - cost: 0.873901 - time: 2.86
rows: 3125 | top_k: 10 | checks: 3125 | K: 12 | W: 0.00512037 | prob: 0.9 = recall: 0.991 - cost: 0.835046 - time: 2.35
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 1.93164e-05 | prob: 0.9 = recall: 0.213 - cost: 0.0214816 - time: 0.07
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.00052291 | prob: 0.9 = recall: 0.763 - cost: 0.329667 - time: 1.03
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.0010265 | prob: 0.9 = recall: 0.86 - cost: 0.432886 - time: 1.36
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.0015301 | prob: 0.9 = recall: 0.898 - cost: 0.473213 - time: 1.5
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.00203369 | prob: 0.9 = recall: 0.948 - cost: 0.583994 - time: 2.08
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.00253728 | prob: 0.9 = recall: 0.97 - cost: 0.66977 - time: 2.3
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.00304088 | prob: 0.9 = recall: 0.985 - cost: 0.752186 - time: 2.61
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.00354447 | prob: 0.9 = recall: 0.972 - cost: 0.723741 - time: 2.61
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.00404806 | prob: 0.9 = recall: 0.991 - cost: 0.802445 - time: 2.8
rows: 3125 | top_k: 10 | checks: 3125 | K: 14 | W: 0.00455166 | prob: 0.9 = recall: 0.992 - cost: 0.841178 - time: 3.04
rows: 3125 | top_k: 10 | checks: 3125 | K: 16 | W: 1.93164e-05 | prob: 0.9 = recall: 0.217 - cost: 0.0193792 - time: 0.09
rows: 3125 | top_k: 10 | checks: 3125 | K: 16 | W: 0.000574055 | prob: 0.9 = recall: 0.74 - cost: 0.30905 - time: 1.02
rows: 3125 | top_k: 10 | checks: 3125 | K: 16 | W: 0.00112879 | prob: 0.9 = recall: 0.859 - cost: 0.418579 - time: 1.06
rows: 3125 | top_k: 10 | checks: 3125 | K: 16 | W: 0.00168353 | prob: 0.9 = recall: 0.909 - cost: 0.532749 - time: 1.48
rows: 3125 | top_k: 10 | checks: 3125 | K: 16 | W: 0.00223827 | prob: 0.9 = recall: 0.906 - cost: 0.528301 - time: 1.44
rows: 3125 | top_k: 10 | checks: 3125 | K: 16 | W: 0.00279301 | prob: 0.9 = recall: 0.939 - cost: 0.499005 - time: 1.34
